cep,uf,cidade,latitude,longitude
69540000,AM,Alvarães,-3.2155787,-64.8148327
69620000,AM,Amaturá,-3.3640509,-68.1994689
69445000,AM,Anamã,-3.5797356,-61.4049996
69440000,AM,Anori,-3.7435254,-61.6605203
69265000,AM,Apuí,-7.1940195,-59.8830192
69650000,AM,Atalaia do Norte,-4.3658547,-70.1908742
69240000,AM,Autazes,-3.5833283,-59.1301518
69700000,AM,Barcelos,41.5314496,-8.6192306
69160000,AM,Barreirinha,-2.798863,-57.067897
69630000,AM,Benjamin Constant,-4.3782748,-70.0290603
69430000,AM,Beruri,-3.9007135,-61.3717319
69195000,AM,Boa Vista do Ramos,-2.9716927,-57.5869819
69850000,AM,Boca do Acre,-8.7553487,-67.3930873
69200000,AM,Borba,38.8057942,-7.4542105
69425000,AM,Caapiranga,-3.3188884,-61.2096404
69820000,AM,Canutama,-6.5330019,-64.3834966
69500000,AM,Carauari,-4.8766426,-66.8961433
69250000,AM,Careiro,-3.8185277,-60.3616505
69255000,AM,Careiro da Várzea,-3.197024,-59.8259104
69460000,AM,Coari,-4.0885957,-63.1431166
69450000,AM,Codajás,-3.8413202,-62.0603444
69880000,AM,Eirunepé,-6.6567654,-69.866161
69870000,AM,Envira,-7.437889,-70.028143
69670000,AM,Fonte Boa,-2.5147464,-66.0948424
69895000,AM,Guajará,-7.5455927,-72.5832769
69800000,AM,Humaitá,-27.5660564,-53.9719817
69890000,AM,Ipixuna,-7.0502834,-71.691232
69415000,AM,Iranduba,-3.2758203,-60.1867429
69100134,,,,
69109899,,,,
69100087,,,,
69100084,,,,
69104015,AM,Itacoatiara,-3.1425753,-58.4478262
69100152,AM,Itacoatiara,-3.1451027,-58.4522068
69104320,AM,Itacoatiara,-3.146409,-58.4432449
69101071,AM,Itacoatiara,-3.1368154,-58.440804
69101488,,,,
69100066,AM,Itacoatiara,-3.1412,-58.4464349
69100081,AM,Itacoatiara,-3.1446898,-58.439679
